Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
2018-01-25,116.900002,174.0,120.959999,39.209998999999996,40.104324,76.650002,138.320007,100.279999,19.82,91.970001,154.850006,63.400002,120.739998,238.13999900000002,122.389999,26.690001000000002,40.77,68.239998,125.629997,120.209999,163.350006,49.080002,424.660004,138.53999299999998,68.62796
2018-01-26,114.410004,169.850006,121.019997,38.119999,41.811316999999995,77.019997,138.149994,102.309998,19.540001,92.029999,153.490005,64.75,121.489998,239.960007,122.410004,27.620001000000002,41.049999,69.540001,126.93,121.470001,165.690002,48.98,423.67999299999997,141.110001,69.800072
2018-01-29,111.68,166.669998,118.66999799999999,37.630001,41.78154,75.870003,137.5,101.230003,19.629998999999998,91.370003,150.899994,65.08000200000001,120.910004,236.91000400000001,121.769997,27.700001,40.080002,69.040001,125.970001,119.57,162.830002,48.5,420.790009,138.919998,67.952515
2018-01-30,111.370003,168.300003,117.33000200000001,37.57,41.682301,75.129997,137.580002,100.019997,19.129998999999998,91.540001,149.91000400000001,64.199997,118.849998,235.83999599999999,122.25,27.190001000000002,40.099998,66.82,124.709999,118.349998,160.720001,48.16,421.35998499999994,139.830002,67.704193
2018-01-31,111.589996,168.369995,122.68,38.279999,42.118969,75.58000200000001,137.679993,99.18,19.5,91.33000200000001,150.300003,62.860001000000004,119.839996,228.169998,121.800003,27.299999,40.509997999999996,66.959999,125.629997,118.730003,161.490005,47.349998,417.109985,135.399994,66.18441800000001
2018-02-01,109.199997,166.78999299999998,120.360001,38.349998,41.25555,73.5,138.490005,98.41999799999999,19.450001,89.220001,147.990005,61.669998,117.559998,224.080002,121.889999,26.870001000000002,40.360001000000004,66.379997,123.540001,117.620003,159.830002,47.040001000000004,412.130005,134.229996,65.836761
2018-02-02,105.510002,162.83999599999999,117.629997,37.459998999999996,39.608109000000006,70.889999,137.059998,99.269997,17.969998999999998,85.720001,146.130005,62.169998,112.16999799999999,217.289993,121.0,26.040001,38.970001,64.239998,123.099998,115.610001,155.050003,46.220001,403.130005,131.0,66.790337
2018-02-05,105.150002,156.330002,113.809998,36.509997999999996,37.911045,67.839996,132.050003,97.110001,17.65,83.089996,140.96000700000002,59.439999,108.769997,209.100006,119.18,24.780001000000002,37.799999,62.540001000000004,117.129997,111.980003,150.320007,44.470001,393.230011,125.199997,63.532272
2018-02-06,107.540001,160.220001,114.239998,36.93,38.744690000000006,71.889999,131.740005,99.019997,18.74,84.989998,142.41000400000001,59.57,113.82,210.460007,119.290001,25.07,37.630001,63.599998,118.959999,113.959999,155.309998,44.279999,405.0,126.779999,64.118332
2018-02-07,106.629997,158.21000700000002,114.779999,39.330002,39.181362,70.599998,133.119995,98.980003,17.860001,83.970001,142.699997,59.25,110.269997,218.850006,120.410004,25.25,37.029999,62.919998,117.129997,114.129997,150.009995,44.360001000000004,403.480011,128.240005,63.989197
2018-02-08,105.18,152.800003,110.769997,38.439999,37.17664,68.209999,127.760002,93.57,17.16,80.870003,138.0,56.049999,105.790001,208.419998,119.08000200000001,24.129998999999998,36.610001000000004,60.380001,111.949997,110.300003,144.070007,42.619999,387.649994,121.470001,60.522537
2018-02-09,107.720001,158.08999599999999,111.459999,37.869999,37.33543,69.480003,128.520004,94.800003,17.57,82.68,140.399994,57.200001,106.989998,214.38000499999998,118.639999,24.35,36.759997999999996,61.77,113.760002,112.370003,149.479996,41.66,398.859985,125.0,61.913177000000005
2018-02-12,111.589996,159.679993,115.650002,37.529999,38.149227,71.839996,130.16000400000001,97.519997,17.57,85.220001,142.419998,57.880001,109.699997,212.75999500000003,120.440002,25.209999,36.91,63.439999,116.690002,113.980003,153.75,42.52,403.690002,127.160004,62.846889000000004
2018-02-13,108.449997,159.440002,116.879997,37.759997999999996,38.70499,70.75,129.33999599999999,97.900002,17.799999,81.860001,143.059998,58.029999,109.639999,218.41000400000001,120.110001,25.209999,37.02,64.08000200000001,116.029999,114.559998,153.830002,41.720001,405.76001,129.369995,63.00581700000001
2018-02-14,111.720001,161.270004,118.120003,38.119999,39.360001000000004,71.33000200000001,129.800003,99.699997,19.120001000000002,85.260002,144.850006,58.380001,112.0,215.69999700000002,120.18,25.719998999999998,39.0,65.190002,115.989998,116.32,155.070007,42.509997999999996,405.660004,129.619995,63.870003000000004
2018-02-15,113.431503,163.809998,119.010002,39.084998999999996,40.509997999999996,71.724998,131.449997,100.059998,19.049999,85.029999,142.139999,58.369999,110.360001,221.86000099999998,120.819702,25.870001000000002,39.07,65.239998,117.0,115.690002,155.190002,42.799999,403.301605,133.350006,64.699997
